Station;Date Releve;Heure;Num Releve;Conductivite;Salinite;Comm Salinite;Temperature;Ph;Redox;Oxygene;Saturation;Niveau Ngf;Comm Ngf;Niveau Relatif;Niveau 0;Turbidite;Couleur;Macrophyte;Remarques
Etangs du Grand Bagnas - TB5 centre piezo;28/10/2025;09:46;;15.11;8.7;;13.1;;;;;;;0.64;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - TB5 centre;28/10/2025;09:46;;11;6.2;;12.9;;;3.36;31.7;0.23;;;;200;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Petit Pont;28/10/2025;10:10;;7.68;4.2;;16.9;;;3.05;30.8;;;;;75;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents_envasement
Etangs du Grand Bagnas - Canal de l'ouest;28/10/2025;10:10;;1.524;0.6;;15.4;;;5.14;50.9;;;1.41;;20;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - LONGE;28/10/2025;10:30;;1.314;0.4;;15;;;3.05;29.4;0.7;;;;40;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - MareB5roseau piezo;28/10/2025;11:05;;56.2;36.7;;16;;;;;;;0.67;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - MareB5roseau;28/10/2025;11:05;;1.55;0.6;;15;;;4.69;46.6;;;0.39;;20;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Scirpaie GB8 piezo;28/10/2025;11:21;;43;27.3;;15.7;;;;;;;0.57;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Scirpaie GB8;28/10/2025;11:21;;8.48;4.7;;14.8;;;4.62;45.4;0.24;;0.18;;20;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Pioch couguioul;28/10/2025;11:35;;3.5;1.8;;14.6;;;4.9;47.6;0.68;;;;100;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Pairollet Piezo;28/10/2025;11:45;;71.3;48.8;;19.9;;;;;;;0.91;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Pairollet;28/10/2025;11:45;;;;;;;;;;;;;0;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - PB3 Piezo;28/10/2025;13:40;;139;;OFL;19.8;;;;;;;1.05;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - PB3;28/10/2025;13:40;;;;;;;;;;;;;0;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Rieu nord piezo;28/10/2025;12:05;;104.3;;OFL;18.5;;;;;;;1.08;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Rieu nord;28/10/2025;12:05;;77.8;53.7;;19;;;6.75;71.8;0.095;;;;20;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - PB4 piezo;28/10/2025;13:55;;126.9;;OFL;20.2;;;;;;;1.37;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - PB4;28/10/2025;13:55;;;;;;;;;;;;;0;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Mare pelo - 3 piezo;28/10/2025;14:15;;4.85;2.5;;17.2;;;;;;;1.125;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Mare pelo - 3;28/10/2025;14:15;;3.06;1.5;;17.2;;;6.39;66.2;0.315;;;;5;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Mare pelo Piezo;28/10/2025;14:37;;44.2;28.2;;19;;;;;;;0.99;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - Mare aux pelobates;28/10/2025;14:37;;78.9;54.8;;19.5;;;6.88;74.5;0.01;;;;200;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - canal du midi martelliere;15/10/2025;08:35;;1.136;0.3;;18;;;2.84;30;;;-0.22;;20;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - EID Piezo;15/10/2025;09:05;;25.1;15;;15;;;;;;;0.88;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - EID;15/10/2025;09:05;;14.61;2.4;;12.8;;;1.1;10.3;;;;;40;;;vent faible de sud l'après-midi_Pied du piezo à sec-pas de mesure de niveau
Etangs du Grand Bagnas - echelleGB2piezo;15/10/2025;09:20;;38.4;24;;16.9;;;;;;;0.56;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - echelleGB2;15/10/2025;09:20;;7.54;4.1;;15.9;;;1.87;18.7;;;0.26;;200;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - TB5 centre piezo;15/10/2025;09:30;;13.77;7.9;;16;;;;;;;0.66;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - TB5 centre;15/10/2025;09:30;;12.23;7;;16.1;;;1.88;19;0.21;;;;100;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Petit Pont;15/10/2025;09:45;;13.19;7.6;;17.6;;;1.82;19;;;;;20;;;vent faible de sud l'après-midi_Echelle envasée-pas de mesure NGF
Etangs du Grand Bagnas - Canal de l'ouest;15/10/2025;09:45;;1.184;0.4;;17.5;;;3;31.3;;;1.38;;20;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - LONGE;15/10/2025;10:05;;1.873;0.8;;15.3;;;1.92;19.1;0.33;;;;75;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - MareB5roseau piezo;15/10/2025;10:50;;55.9;36.7;;18.1;;;;;;;0.67;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - MareB5roseau;15/10/2025;10:50;;1.416;0.5;;17;;;3.3;33.9;;;0.38;;30;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Scirpaie GB8 piezo;15/10/2025;10:55;;40.6;25.6;;17.9;;;;;;;0.69;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Scirpaie GB8;15/10/2025;10:55;;27.5;16.6;;15.7;;;1.23;12.3;0.225;;0.05;;20;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Pioch couguioul;15/10/2025;11:20;;5.78;3.1;;17.9;;;7.52;39.9;0.31;;;;200;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Pairollet Piezo;15/10/2025;11:25;;71.9;49.3;;21.3;;;;;;;0.915;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Pairollet;15/10/2025;11:25;;;;;;;;;;;;;0;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - PB3 Piezo;15/10/2025;11:45;;164;;OFL;21.1;;;;;;;1.245;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - PB3;15/10/2025;11:45;;;;;;;;;;;;;0;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Rieu nord piezo;15/10/2025;12:00;;107.3;;OFL;19.9;;;;;;;1.13;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Rieu nord;15/10/2025;12:00;;88.8;63.1;;19.3;;;3.31;35.5;0.17;;;;75;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - PB4 piezo;15/10/2025;13:35;;126;;OFL;21.8;;;;;;;1.42;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - PB4;15/10/2025;13:35;;;;;;;;;;;;;0;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Mare pelo - 3 piezo;15/10/2025;13:50;;4.86;2.5;;17.9;;;;;;;1.18;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Mare pelo - 3;15/10/2025;13:50;;;;;;;;;;;;;0;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Mare pelo Piezo;15/10/2025;14:10;;44.3;28.5;;20.8;;;;;;;1.02;;;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - Mare aux pelobates;15/10/2025;14:10;;81.1;56.8;;21.6;;;5.56;62.4;-0.04;;;;200;;;vent faible de sud l'après-midi
Etangs du Grand Bagnas - canal du midi martelliere;01/10/2025;08:26;;1.685;0.7;;18.4;;;2.94;30.8;;;-0.21;;20;;;vent faible de nord-ouest
Etangs du Grand Bagnas - EID Piezo;01/10/2025;08:44;;25;14.9;;15.2;;;;;;;0.73;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - EID;01/10/2025;08:44;;3.27;1.6;;13.5;;;1.31;12.2;;;0.11;;50;;;vent faible de nord-ouest
Etangs du Grand Bagnas - echelleGB2piezo;01/10/2025;09:05;;38;23.7;;16.8;;;;;;;0.6;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - echelleGB2;01/10/2025;09:05;;8.21;4.5;;15.4;;;1.74;17.3;;;0.19;;75;;;vent faible de nord-ouest
Etangs du Grand Bagnas - TB5 centre piezo;01/10/2025;09:20;;13.05;7.4;;16.6;;;;;;;0.72;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - TB5 centre;01/10/2025;09:20;;14.48;8.3;;16.5;;;1.33;13;0.14;;;;75;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Petit Pont;01/10/2025;09:33;;22.1;13.4;;18.2;;;1.6;16.1;;;;;20;;;vent faible de nord-ouest_échelle envasée
Etangs du Grand Bagnas - Canal de l'ouest;01/10/2025;09:33;;1.462;0.5;;18.5;;;2.65;28;;;1.35;;100;;;vent faible de nord-ouest
Etangs du Grand Bagnas - LONGE;01/10/2025;09:44;;1.764;0.7;;16.1;;;2.02;20.2;0.49;;;;75;;;vent faible de nord-ouest
Etangs du Grand Bagnas - MareB5roseau piezo;01/10/2025;09:58;;54.2;35.5;;18.5;;;;;;;0.72;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - MareB5roseau;01/10/2025;09:58;;1.438;0.5;;16.4;;;3.21;32.4;;;0.33;;75;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Scirpaie GB8 piezo;01/10/2025;10:05;;41;26.2;;20.1;;;;;;;0.94;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Scirpaie GB8;01/10/2025;10:05;;;;;;;;;;0.14;;;0;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Pioch couguioul;01/10/2025;10:25;;5.31;2.8;;17.6;;;3.47;35.7;0.47;;;;100;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Pairollet Piezo;01/10/2025;10:33;;71.9;49.2;;20.9;;;;;;;0.88;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Pairollet;01/10/2025;10:33;;;;;;;;;;;;;0;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - PB3 Piezo;01/10/2025;10:50;;162.2;;OFL;20.6;;;;;;;1.17;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - PB3;01/10/2025;10:50;;;;;;;;;;;;;0;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Rieu nord piezo;01/10/2025;11:00;;107.6;;OFL;20.4;;;;;;;1.1;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Rieu nord;01/10/2025;11:00;;87.6;62;;20.2;;;2.79;30.2;0.19;;;;50;;;vent faible de nord-ouest
Etangs du Grand Bagnas - PB4 piezo;01/10/2025;11:17;;25.8;;OFL;21.3;;;;;;;1.39;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - PB4;01/10/2025;11:17;;;;;;;;;;;;;0;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Mare pelo - 3 piezo;01/10/2025;11:34;;5.8;3.1;;18.6;;;;;;;1.18;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Mare pelo - 3;01/10/2025;11:34;;;;;;;;;;;;;0;10;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Mare pelo Piezo;01/10/2025;11:50;;44.7;28.6;;19.3;;;;;;;1;;;;;vent faible de nord-ouest
Etangs du Grand Bagnas - Mare aux pelobates;01/10/2025;11:50;;80;55.6;;18.3;;;3.49;36.8;-1;;;;50;;;vent faible de nord-ouest
Etangs du Grand Bagnas - canal du midi martelliere;17/09/2025;08:50;;1.479;0.6;;21.9;;;2.99;33.9;;;-0.21;;10;;;vent nul
Etangs du Grand Bagnas - EID Piezo;17/09/2025;09:30;;22;13.1;;17.8;;;;;;;0.6;;;;;vent nul
Etangs du Grand Bagnas - EID;17/09/2025;09:30;;2.33;1;;16.9;;;0.55;5.6;;;0.24;;30;;;vent nul
Etangs du Grand Bagnas - echelleGB2piezo;17/09/2025;09:50;;38.2;23.8;;19.8;;;;;;;0.67;;;;;vent nul
Etangs du Grand Bagnas - echelleGB2;17/09/2025;09:50;;10.6;6;;17.6;;;2.04;21.1;;;0.13;;75;;;vent nul
Etangs du Grand Bagnas - TB5 centre piezo;17/09/2025;10:20;;11.03;6.3;;20.6;;;;;;;0.78;;;;;vent nul
Etangs du Grand Bagnas - TB5 centre;17/09/2025;10:20;;16.56;9.7;;19.1;;;1.68;17.9;0.06;;;;75;;;vent nul
Etangs du Grand Bagnas - Petit Pont;17/09/2025;10:40;;25.6;15.5;;20.5;;;1.7;18.6;;;;;300;;;vent nul_échelle envasée
Etangs du Grand Bagnas - Canal de l'ouest;17/09/2025;10:45;;1.817;0.8;;21.8;;;2.48;28;;;1.27;;100;;;vent nul
